77|,76|77,476
77|,67|77,474
77|,87|77,443
77|,78|77,471
98|,88|98,488
98|,97|98,437
98|,99|98,505
98|,8|98,549
78|,88|78,551
78|,68|78,451
78|,77|78,466
78|,79|78,458
87|,97|87,445
87|,86|87,463
87|,77|87,436
87|,88|87,465
76|,86|76,461
76|,66|76,456
76|,77|76,481
76|,75|76,460
67|,77|67,479
67|,57|67,504
67|,66|67,471
67|,68|67,472
58|,68|58,599
58|,57|58,469
58|,48|58,479
58|,59|58,512
69|,68|69,455
69|,79|69,488
69|,59|69,449
69|,60|69,484
65|,66|65,438
65|,75|65,463
65|,64|65,503
65|,55|65,503
56|,57|56,508
56|,66|56,480
56|,55|56,494
56|,46|56,501
47|,57|47,413
47|,46|47,439
47|,37|47,441
47|,48|47,466
89|,88|89,437
89|,79|89,441
89|,80|89,465
89|,99|89,463
70|,79|70,488
70|,71|70,445
70|,60|70,467
70|,80|70,451
96|,86|96,489
96|,6|96,458
96|,95|96,452
96|,97|96,440
85|,75|85,507
85|,84|85,507
85|,95|85,471
85|,86|85,449
74|,75|74,483
74|,64|74,500
74|,73|74,472
74|,84|74,470
75|,65|75,457
75|,85|75,514
75|,76|75,483
75|,74|75,455
64|,65|64,513
64|,74|64,506
64|,63|64,517
64|,54|64,513
84|,85|84,494
84|,74|84,479
84|,83|84,481
84|,94|84,484
86|,85|86,461
86|,76|86,466
86|,87|86,476
86|,96|86,459
95|,85|95,458
95|,94|95,495
95|,5|95,487
95|,96|95,452
79|,78|79,472
79|,70|79,493
79|,69|79,471
79|,89|79,446
68|,78|68,520
68|,67|68,480
68|,58|68,489
68|,69|68,481
88|,87|88,442
88|,78|88,458
88|,89|88,464
88|,98|88,585
97|,87|97,449
97|,96|97,423
97|,7|97,428
97|,98|97,469
66|,76|66,435
66|,56|66,494
66|,65|66,438
66|,67|66,477
6|,96|6,507
6|,16|6,470
6|,5|6,450
6|,7|6,435
36|,46|36,442
36|,35|36,427
36|,37|36,454
36|,26|36,450
45|,46|45,476
45|,44|45,496
45|,55|45,512
45|,35|45,447
54|,55|54,500
54|,64|54,489
54|,53|54,485
54|,44|54,506
63|,64|63,552
63|,53|63,510
63|,73|63,448
63|,62|63,532
46|,56|46,482
46|,45|46,478
46|,36|46,448
46|,47|46,447
55|,56|55,526
55|,54|55,496
55|,65|55,493
55|,45|55,497
53|,54|53,488
53|,63|53,516
53|,52|53,538
53|,43|53,510
44|,54|44,493
44|,45|44,503
44|,34|44,483
44|,43|44,463
62|,63|62,553
62|,52|62,537
62|,72|62,533
62|,61|62,528
73|,63|73,465
73|,74|73,495
73|,72|73,458
73|,83|73,485
57|,56|57,485
57|,47|57,421
57|,58|57,502
57|,67|57,485
34|,44|34,463
34|,35|34,458
34|,33|34,479
34|,24|34,476
43|,53|43,507
43|,44|43,484
43|,42|43,496
43|,33|43,489
52|,53|52,551
52|,62|52,561
52|,51|52,514
52|,42|52,543
35|,45|35,458
35|,34|35,439
35|,36|35,436
35|,25|35,476
33|,43|33,501
33|,32|33,493
33|,34|33,479
33|,23|33,483
42|,43|42,512
42|,52|42,549
42|,41|42,510
42|,32|42,515
51|,52|51,547
51|,41|51,415
51|,50|51,421
51|,61|51,718
24|,34|24,470
24|,23|24,504
24|,25|24,440
24|,14|24,445
61|,62|61,560
61|,71|61,683
61|,51|61,416
61|,60|61,424
72|,73|72,501
72|,82|72,501
72|,62|72,500
72|,71|72,546
83|,84|83,489
83|,73|83,489
83|,82|83,498
83|,93|83,524
71|,72|71,529
71|,81|71,697
71|,61|71,426
71|,70|71,429
82|,83|82,513
82|,81|82,525
82|,72|82,524
82|,92|82,508
93|,83|93,523
93|,3|93,513
93|,94|93,507
93|,92|93,491
92|,82|92,515
92|,91|92,451
92|,2|92,513
92|,93|92,515
94|,84|94,468
94|,4|94,523
94|,95|94,471
94|,93|94,497
91|,81|91,380
91|,1|91,685
91|,90|91,392
91|,92|91,508
80|,81|80,447
80|,70|80,460
80|,89|80,407
80|,90|80,450
60|,70|60,462
60|,69|60,458
60|,61|60,425
60|,50|60,466
81|,82|81,548
81|,71|81,414
81|,91|81,660
81|,80|81,419
1|,91|1,425
1|,11|1,692
1|,2|1,529
1|,0|1,440
50|,59|50,496
50|,51|50,428
50|,40|50,490
50|,60|50,443
49|,59|49,536
49|,40|49,464
49|,48|49,496
49|,39|49,467
31|,41|31,732
31|,32|31,551
31|,30|31,385
31|,21|31,448
41|,42|41,550
41|,31|41,399
41|,51|41,751
41|,40|41,398
32|,42|32,502
32|,31|32,527
32|,33|32,492
32|,22|32,563
40|,41|40,443
40|,50|40,466
40|,30|40,436
40|,49|40,451
59|,50|59,495
59|,49|59,499
59|,69|59,466
59|,58|59,524
30|,31|30,446
30|,40|30,441
30|,39|30,441
30|,20|30,432
23|,33|23,511
23|,24|23,497
23|,22|23,477
23|,13|23,490
12|,22|12,548
12|,13|12,478
12|,2|12,530
12|,11|12,523
21|,22|21,565
21|,31|21,747
21|,11|21,432
21|,20|21,427
13|,23|13,464
13|,14|13,515
13|,3|13,484
13|,12|13,457
14|,24|14,464
14|,15|14,475
14|,13|14,481
14|,4|14,452
25|,24|25,416
25|,35|25,475
25|,26|25,460
25|,15|25,462
48|,47|48,447
48|,38|48,472
48|,49|48,501
48|,58|48,548
26|,36|26,478
26|,25|26,442
26|,16|26,435
26|,27|26,423
15|,25|15,452
15|,14|15,447
15|,5|15,488
15|,16|15,452
27|,26|27,423
27|,37|27,435
27|,17|27,429
27|,28|27,421
16|,26|16,438
16|,15|16,450
16|,17|16,456
16|,6|16,439
37|,47|37,434
37|,27|37,450
37|,38|37,484
37|,36|37,415
17|,27|17,418
17|,18|17,440
17|,16|17,421
17|,7|17,442
39|,38|39,482
39|,49|39,510
39|,30|39,471
39|,29|39,454
28|,38|28,512
28|,18|28,416
28|,27|28,409
28|,29|28,438
18|,28|18,485
18|,17|18,407
18|,8|18,430
18|,19|18,478
29|,28|29,425
29|,39|29,475
29|,19|29,406
29|,20|29,439
7|,6|7,433
7|,97|7,443
7|,17|7,426
7|,8|7,434
38|,37|38,453
38|,39|38,539
38|,48|38,520
38|,28|38,442
19|,29|19,441
19|,18|19,434
19|,9|19,437
19|,10|19,473
8|,18|8,502
8|,98|8,464
8|,7|8,432
8|,9|8,460
20|,29|20,413
20|,30|20,467
20|,21|20,459
20|,10|20,433
99|,89|99,481
99|,98|99,464
99|,9|99,449
99|,90|99,495
3|,13|3,464
3|,4|3,498
3|,2|3,512
3|,93|3,496
4|,14|4,470
4|,3|4,475
4|,94|4,470
4|,5|4,486
5|,15|5,461
5|,4|5,434
5|,95|5,499
5|,6|5,515
22|,12|22,546
22|,32|22,527
22|,21|22,543
22|,23|22,533
11|,12|11,527
11|,21|11,721
11|,1|11,414
11|,10|11,442
10|,11|10,463
10|,20|10,466
10|,0|10,405
10|,19|10,449
2|,12|2,549
2|,1|2,549
2|,92|2,491
2|,3|2,494
0|,1|0,442
0|,90|0,428
0|,10|0,426
0|,9|0,432
90|,91|90,434
90|,0|90,441
90|,80|90,421
90|,99|90,469
9|,99|9,455
9|,0|9,436
9|,8|9,443
9|,19|9,446
88|98,87|88.98,114
88|98,78|88.98,120
88|98,98|88.98,139
88|98,89|88.98,111
88|78,87|88.78,130
88|78,78|88.78,130
88|78,89|88.78,138
88|78,98|88.78,150
97|87,87|97.87,116
97|87,7|97.87,120
97|87,98|97.87,108
97|87,96|97.87,94
97|98,87|97.98,103
97|98,96|97.98,129
97|98,98|97.98,106
97|98,7|97.98,98
86|76,87|86.76,111
86|76,76|86.76,113
86|76,96|86.76,121
86|76,85|86.76,110
86|87,87|86.87,128
86|87,85|86.87,113
86|87,76|86.87,105
86|87,96|86.87,113
77|67,87|77.67,121
77|67,67|77.67,128
77|67,78|77.67,113
77|67,76|77.67,109
68|58,67|68.58,160
68|58,78|68.58,145
68|58,58|68.58,157
68|58,69|68.58,133
68|69,67|68.69,116
68|69,78|68.69,101
68|69,58|68.69,117
68|69,69|68.69,117
68|78,67|68.78,120
68|78,78|68.78,106
68|78,58|68.78,110
68|78,69|68.78,110
66|76,67|66.76,125
66|76,76|66.76,99
66|76,65|66.76,109
66|76,56|66.76,117
66|65,67|66.65,116
66|65,76|66.65,95
66|65,56|66.65,122
66|65,65|66,95
77|87,67|77.87,102
77|87,76|77.87,119
77|87,78|77.87,121
77|87,87|77.87,89
77|76,67|77.76,114
77|76,76|77.76,133
77|76,78|77.76,114
77|76,87|77.76,114
57|67,67|57.67,132
57|67,47|57.67,100
57|67,58|57.67,131
57|67,56|57.67,139
57|56,67|57.56,130
57|56,56|57.56,118
57|56,47|57.56,117
57|56,58|57.56,140
57|47,67|57.47,108
57|47,56|57.47,102
57|47,47|57.47,92
57|47,58|57.47,101
77|78,78|77.78,121
77|78,67|77.78,123
77|78,76|77.78,103
77|78,87|77.78,116
88|89,78|88.89,115
88|89,87|88.89,105
88|89,98|88.89,114
88|89,89|88.89,101
88|87,78|88.87,88
88|87,98|88.87,178
88|87,89|88.87,111
88|87,87|88,85
79|78,78|79.78,119
79|78,69|79.78,114
79|78,89|79.78,117
79|78,70|79.78,106
79|70,78|79.70,117
79|70,69|79.70,117
79|70,89|79.70,105
79|70,70|79.70,147
79|69,78|79.69,116
79|69,69|79.69,128
79|69,89|79.69,113
79|69,70|79.69,129
79|89,78|79.89,115
79|89,69|79.89,105
79|89,70|79.89,111
79|89,89|79.89,108
86|96,76|86.96,134
86|96,85|86.96,119
86|96,87|86.96,109
86|96,96|86.96,122
66|56,76|66.56,110
